File Name,Unicode Symbol
acacia_boat,'\ue000'
acacia_button,'\ue001'
acacia_door,'\ue002'
acacia_fence,'\ue003'
acacia_fence_gate,'\ue004'
acacia_leaves,'\ue005'
acacia_log,'\ue006'
acacia_planks,'\ue007'
acacia_pressure_plate,'\ue008'
acacia_sapling,'\ue009'
acacia_sign,'\ue00a'
acacia_slab,'\ue00b'
acacia_stairs,'\ue00c'
acacia_trapdoor,'\ue00d'
acacia_wood,'\ue00e'
activator_rail,'\ue00f'
allium,'\ue010'
ancient_debris,'\ue011'
andesite,'\ue012'
andesite_slab,'\ue013'
andesite_stairs,'\ue014'
andesite_wall,'\ue015'
anvil,'\ue016'
apple,'\ue017'
armor_stand,'\ue018'
arrow,'\ue019'
azure_bluet,'\ue01a'
baked_potato,'\ue01b'
bamboo,'\ue01c'
barrel,'\ue01d'
basalt,'\ue01e'
bat_spawn_egg,'\ue01f'
beacon,'\ue020'
bedrock,'\ue021'
beef,'\ue022'
beehive,'\ue023'
beetroot,'\ue024'
beetroot_seeds,'\ue025'
beetroot_soup,'\ue026'
bee_nest,'\ue027'
bee_spawn_egg,'\ue028'
bell,'\ue029'
birch_boat,'\ue02a'
birch_button,'\ue02b'
birch_door,'\ue02c'
birch_fence,'\ue02d'
birch_fence_gate,'\ue02e'
birch_leaves,'\ue02f'
birch_log,'\ue030'
birch_planks,'\ue031'
birch_pressure_plate,'\ue032'
birch_sapling,'\ue033'
birch_sign,'\ue034'
birch_slab,'\ue035'
birch_stairs,'\ue036'
birch_trapdoor,'\ue037'
birch_wood,'\ue038'
blackstone,'\ue039'
blackstone_slab,'\ue03a'
blackstone_stairs,'\ue03b'
blackstone_wall,'\ue03c'
black_banner,'\ue03d'
black_bed,'\ue03e'
black_carpet,'\ue03f'
black_concrete,'\ue040'
black_concrete_powder,'\ue041'
black_dye,'\ue042'
black_glazed_terracotta,'\ue043'
black_shulker_box,'\ue044'
black_stained_glass,'\ue045'
black_stained_glass_pane,'\ue046'
black_terracotta,'\ue047'
black_wool,'\ue048'
blast_furnace,'\ue049'
blaze_powder,'\ue04a'
blaze_rod,'\ue04b'
blaze_spawn_egg,'\ue04c'
blue_banner,'\ue04d'
blue_bed,'\ue04e'
blue_carpet,'\ue04f'
blue_concrete,'\ue050'
blue_concrete_powder,'\ue051'
blue_dye,'\ue052'
blue_glazed_terracotta,'\ue053'
blue_ice,'\ue054'
blue_orchid,'\ue055'
blue_shulker_box,'\ue056'
blue_stained_glass,'\ue057'
blue_stained_glass_pane,'\ue058'
blue_terracotta,'\ue059'
blue_wool,'\ue05a'
bone,'\ue05b'
bone_block,'\ue05c'
bone_meal,'\ue05d'
book,'\ue05e'
bookshelf,'\ue05f'
bow,'\ue060'
bowl,'\ue061'
brain_coral,'\ue062'
brain_coral_block,'\ue063'
brain_coral_fan,'\ue064'
bread,'\ue065'
brewing_stand,'\ue066'
brick,'\ue067'
bricks,'\ue068'
brick_slab,'\ue069'
brick_stairs,'\ue06a'
brick_wall,'\ue06b'
brown_banner,'\ue06c'
brown_bed,'\ue06d'
brown_carpet,'\ue06e'
brown_concrete,'\ue06f'
brown_concrete_powder,'\ue070'
brown_dye,'\ue071'
brown_glazed_terracotta,'\ue072'
brown_mushroom,'\ue073'
brown_mushroom_block,'\ue074'
brown_shulker_box,'\ue075'
brown_stained_glass,'\ue076'
brown_stained_glass_pane,'\ue077'
brown_terracotta,'\ue078'
brown_wool,'\ue079'
bubble_coral,'\ue07a'
bubble_coral_block,'\ue07b'
bubble_coral_fan,'\ue07c'
bucket,'\ue07d'
cactus,'\ue07e'
cake,'\ue07f'
campfire,'\ue080'
carrot,'\ue081'
carrot_on_a_stick,'\ue082'
cartography_table,'\ue083'
carved_pumpkin,'\ue084'
cat_spawn_egg,'\ue085'
cauldron,'\ue086'
cave_spider_spawn_egg,'\ue087'
chain,'\ue088'
chainmail_boots,'\ue089'
chainmail_chestplate,'\ue08a'
chainmail_helmet,'\ue08b'
chainmail_leggings,'\ue08c'
charcoal,'\ue08d'
chest,'\ue08e'
chest_minecart,'\ue08f'
chicken,'\ue090'
chicken_spawn_egg,'\ue091'
chipped_anvil,'\ue092'
chiseled_nether_bricks,'\ue093'
chiseled_polished_blackstone,'\ue094'
chiseled_quartz_block,'\ue095'
chiseled_red_sandstone,'\ue096'
chiseled_sandstone,'\ue097'
chiseled_stone_bricks,'\ue098'
chorus_flower,'\ue099'
chorus_fruit,'\ue09a'
chorus_plant,'\ue09b'
clay,'\ue09c'
clay_ball,'\ue09d'
clock,'\ue09e'
coal,'\ue09f'
coal_block,'\ue0a0'
coal_ore,'\ue0a1'
coarse_dirt,'\ue0a2'
cobblestone,'\ue0a3'
cobblestone_slab,'\ue0a4'
cobblestone_stairs,'\ue0a5'
cobblestone_wall,'\ue0a6'
